Compound,Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago,User
0.0,Sat Oct 06 10:33:03 +0000 2018,0.0,1.0,0.0,"""Moment of truth"": Ted Cruz and Beto O'Rourke face off in tight Texas race https://t.co/uzf9qhVqqX https://t.co/eS2mZAqnBa",29,@CBSNews
-0.6908,Sat Oct 06 10:18:04 +0000 2018,0.322,0.678,0.0,"""Sheer luck"": Suspect in deadly Tennessee crime spree in custody after manhunt https://t.co/deWlGuSZAN https://t.co/C3dYkQwSHs",30,@CBSNews
-0.5423,Sat Oct 06 10:03:04 +0000 2018,0.29,0.71,0.0,Toyota hybrid recall: Prius included in car recall for stalling problems https://t.co/kWoECUHHyo https://t.co/AJYbkHDjeG,31,@CBSNews
-0.1027,Sat Oct 06 09:48:03 +0000 2018,0.116,0.789,0.095,"Sen. Heidi Heitkamp, who will vote no on Kavanaugh, raises significant funds in 3rd quarter https://t.co/BTVBrYlnxp https://t.co/07e0I3O0A8",32,@CBSNews
-0.2732,Sat Oct 06 09:33:03 +0000 2018,0.168,0.738,0.094,"Lindsey Graham says Klobuchar should apologize to Kavanaugh over ""smear campaign"" https://t.co/b9zrP2CqBl https://t.co/NzTUAWAX7u",33,@CBSNews
-0.6705,Sat Oct 06 09:18:04 +0000 2018,0.29,0.71,0.0,"Michelle Carter ""texting suicide"" case heard by Massachusetts high court https://t.co/aHsIAKmBlv https://t.co/fjJikrAheT",34,@CBSNews
-0.3182,Sat Oct 06 09:03:03 +0000 2018,0.248,0.588,0.163,"High school official apologizes for saying girls ""ruin everything"" https://t.co/ZNyVCyta7J https://t.co/TJtKdvet2E",35,@CBSNews
0.0,Sat Oct 06 08:48:03 +0000 2018,0.0,1.0,0.0,Gas prices nearing highest level in four years https://t.co/DZCKSzRoYG https://t.co/crlp9ifJG4,36,@CBSNews
-0.5574,Sat Oct 06 08:33:03 +0000 2018,0.295,0.705,0.0,"Anti-Kavanaugh protesters take over Senate building, Amy Schumer among those detained https://t.co/IoK1EOh1QJ https://t.co/1e8i0GQUeO",37,@CBSNews
0.0516,Sat Oct 06 08:18:03 +0000 2018,0.177,0.633,0.19,Stock prices tumble as interest rate fears grip Wall Street https://t.co/aG3qHDQhFO https://t.co/I8CTMKtmnL,38,@CBSNews
0.4019,Sat Oct 06 08:03:03 +0000 2018,0.0,0.828,0.172,6-year-old boy speaks clearly for first time after dentist discovers he's tongue-tied https://t.co/QLjaqIHOeV https://t.co/zKO6LSMG40,39,@CBSNews
-0.0516,Sat Oct 06 07:48:04 +0000 2018,0.07,0.93,0.0,"Steve Daines will leave daughter's wedding in private jet to return for Kavanaugh vote, if needed… https://t.co/NrZov7189x",40,@CBSNews
-0.2023,Sat Oct 06 07:33:03 +0000 2018,0.177,0.696,0.127,Man's vision changes after taking high dose of erectile dysfunction drug https://t.co/5k29AuygZy https://t.co/UcL3yORgbj,41,@CBSNews
0.6369,Sat Oct 06 07:18:03 +0000 2018,0.0,0.756,0.244,Preview: Why Journey frontman Steve Perry fell out of love with music https://t.co/uWm6lIPA8x https://t.co/X7q7Iy44iD,42,@CBSNews
0.4588,Sat Oct 06 07:03:03 +0000 2018,0.0,0.75,0.25,"Barnes &amp; Noble hangs up ""for sale"" sign https://t.co/Rk8H75tOmx https://t.co/XlFdEo7i0n",43,@CBSNews
0.0,Sat Oct 06 06:48:03 +0000 2018,0.0,1.0,0.0,Mattress Firm closing hundreds of stores after bankruptcy https://t.co/mOYBepQBAX https://t.co/R5u2Grp50t,44,@CBSNews
-0.4449,Sat Oct 06 06:33:05 +0000 2018,0.21,0.79,0.0,John Paul Stevens says Kavanaugh shouldn't be on Supreme Court https://t.co/jkBJnsl6Pe https://t.co/d4RMAw7ZaW,45,@CBSNews
0.5859,Sat Oct 06 06:18:04 +0000 2018,0.0,0.759,0.241,"Amazon's $15 wage is far from a win, some veteran workers say https://t.co/HsP2xIkZSb https://t.co/K07BhM6R4K",46,@CBSNews
0.0,Sat Oct 06 06:03:03 +0000 2018,0.0,1.0,0.0,Downtown Los Angeles hit with outbreak of flea-borne typhus https://t.co/iHslyMtStY https://t.co/wj9X5oll7Y,47,@CBSNews
0.4019,Sat Oct 06 05:48:03 +0000 2018,0.115,0.681,0.204,"South Carolina shooting suspect posted about loving ""the smell of gunpowder"" on Facebook https://t.co/XQymKV3NVI https://t.co/075loafbM2",48,@CBSNews
-0.34,Sat Oct 06 05:33:04 +0000 2018,0.194,0.806,0.0,Interpol chief Meng Hongwei disappears on visit to China https://t.co/Sek8B8PJt8 https://t.co/c1ZQF6duPS,49,@CBSNews
-0.4588,Sat Oct 06 05:24:04 +0000 2018,0.244,0.63,0.126,"Ford friend, who says she told him about alleged assault in 2016, criticizes FBI for not interviewing him… https://t.co/5JUmAednk1",50,@CBSNews
0.4023,Sat Oct 06 05:18:03 +0000 2018,0.0,0.764,0.236,"Sen. Durbin on Kavanaugh: I'll never forget the ""fire in his eyes"" https://t.co/gsQIQIUoYP https://t.co/23VuPEK8OC",51,@CBSNews
0.3182,Sat Oct 06 05:03:05 +0000 2018,0.0,0.827,0.173,Be sure you know what Medicare covers -- and doesn't https://t.co/JlSo6rFAzs https://t.co/CBUifClT71,52,@CBSNews
-0.5267,Sat Oct 06 04:48:03 +0000 2018,0.207,0.793,0.0,Woman says Delta overserved man who allegedly sexually assaulted her on flight https://t.co/wGfml9Txvy https://t.co/SfwH9guWmn,53,@CBSNews
-0.3182,Sat Oct 06 04:33:04 +0000 2018,0.204,0.796,0.0,Trump's Scotland golf course lost millions last year https://t.co/eJ3HHm0ks8 https://t.co/3yew8YY1n5,54,@CBSNews
0.0,Sat Oct 06 04:18:03 +0000 2018,0.0,1.0,0.0,"""Moment of truth"": Ted Cruz and Beto O'Rourke face off in tight Texas race https://t.co/iWsVILJdvb https://t.co/OxRaMOQzbX",55,@CBSNews
0.5574,Sat Oct 06 04:03:05 +0000 2018,0.0,0.825,0.175,A look at what the FBI inquiry into Brett Kavanaugh has turned up on the Supreme Court nominee… https://t.co/Z2DP6rw665,56,@CBSNews
-0.6908,Sat Oct 06 03:48:03 +0000 2018,0.322,0.678,0.0,"""Sheer luck"": Suspect in deadly Tennessee crime spree in custody after manhunt https://t.co/Ufwf3qheI5 https://t.co/Is5C81DIEr",57,@CBSNews
0.1531,Sat Oct 06 03:33:03 +0000 2018,0.142,0.672,0.187,"LaCroix ingredients: Lawsuit alleges ""all natural"" claim is false https://t.co/vuoGKXLjvF https://t.co/uh2PBydJC9",58,@CBSNews
0.5267,Sat Oct 06 03:24:08 +0000 2018,0.0,0.746,0.254,Mega Millions winning numbers announced for $420 million jackpot https://t.co/t6o4dZjmTJ https://t.co/BkjqqPCcDz,59,@CBSNews
-0.6369,Sat Oct 06 03:18:03 +0000 2018,0.244,0.756,0.0,Teen immigrant who cradled fatally wounded Robert F. Kennedy dies in California https://t.co/udon33OVCt https://t.co/znpxtIYRsP,60,@CBSNews
0.6369,Sat Oct 06 03:03:03 +0000 2018,0.0,0.756,0.244,Preview: Why Journey frontman Steve Perry fell out of love with music https://t.co/lWdWlDyLTL https://t.co/WyyadUEllk,61,@CBSNews
0.8316,Sat Oct 06 03:00:27 +0000 2018,0.0,0.577,0.423,"Kagan, Sotomayor say Supreme Court must steer clear of politics to protect legitimacy https://t.co/RmRbTxrWLI https://t.co/HdZF1zB7SB",62,@CBSNews
0.0,Sat Oct 06 02:39:30 +0000 2018,0.0,1.0,0.0,Myrtle Beach innkeeper opens his doors to families flooded out of their homes https://t.co/XXNYTmIeX0 https://t.co/v4GVHON0QU,63,@CBSNews
-0.3182,Sat Oct 06 02:19:30 +0000 2018,0.204,0.796,0.0,Trump's Scotland golf course lost millions last year https://t.co/588uZdnTzt https://t.co/bMWbMg6CnK,64,@CBSNews
-0.7783,Sat Oct 06 01:59:47 +0000 2018,0.43,0.57,0.0,Texas family fighting for 9-year-old daughter declared brain dead https://t.co/7dgGQw78cM https://t.co/CJvHwkXgWh,65,@CBSNews
-0.6908,Sat Oct 06 01:40:02 +0000 2018,0.198,0.802,0.0,"Cristiano Ronaldo is facing heat from sponsors over a rape allegation, after Nike and video game maker EA Sports ex… https://t.co/DV4eAo65RU",66,@CBSNews
0.0,Sat Oct 06 01:20:00 +0000 2018,0.0,1.0,0.0,Final vote on Kavanaugh is less than 24 hours away https://t.co/WCCSAE6bez https://t.co/CI0dC4PHbn,67,@CBSNews
0.1027,Sat Oct 06 01:00:00 +0000 2018,0.187,0.61,0.203,"LaCroix facing lawsuit alleging its claims of ""all natural"" and ""100 percent natural"" are misleading because of art… https://t.co/2RmWukHsh9",68,@CBSNews
0.7351,Sat Oct 06 00:39:55 +0000 2018,0.0,0.693,0.307,Waitress pitches in to help with fussy toddler so mother can eat in peace https://t.co/zi64cnkCtN https://t.co/GkAGACt6yM,69,@CBSNews
0.0,Sat Oct 06 00:19:50 +0000 2018,0.0,1.0,0.0,Ex-agent who tried to shield Kennedys in Dallas motorcade to receive home state's highest honor… https://t.co/IvImlttKgP,70,@CBSNews
-0.8834,Sat Oct 06 00:00:00 +0000 2018,0.462,0.538,0.0,Junior Seau's family settles wrongful death lawsuit with NFL over player's 2012 suicide https://t.co/7hr4ttDVvT https://t.co/rGB7wzs02f,71,@CBSNews
0.0,Fri Oct 05 23:40:22 +0000 2018,0.0,1.0,0.0,Auditing taxpayers is a dying tradition at depleted IRS https://t.co/EhT3Br6zol https://t.co/iVXrhVxdLP,72,@CBSNews
-0.3182,Fri Oct 05 23:19:40 +0000 2018,0.248,0.588,0.163,"High school official apologizes for saying girls ""ruin everything"" https://t.co/lS0WmNzlBY https://t.co/YYXCbCfSeQ",73,@CBSNews
0.0,Fri Oct 05 23:00:01 +0000 2018,0.0,1.0,0.0,Downtown Los Angeles hit with outbreak of flea-borne typhus https://t.co/vW3GuF41Xq https://t.co/muXtM9SLgd,74,@CBSNews
0.3182,Fri Oct 05 22:45:46 +0000 2018,0.1,0.742,0.157,"RT @CBSEveningNews: Tension over the nomination of Brett Kavanaugh to the Supreme Court exacerbated America’s partisanship. 

And now, many…",75,@CBSNews
-0.4588,Fri Oct 05 22:45:17 +0000 2018,0.136,0.864,0.0,"RT @CBSEveningNews: Sen. Susan Collins (R-ME) announced Friday, that she will vote to confirm Kavanaugh, arguing that Christine Blasey Ford…",76,@CBSNews
0.25,Fri Oct 05 22:39:30 +0000 2018,0.0,0.867,0.133,Chance the Rapper pledges $1 million to mental health services in Chicago https://t.co/kJrzBuY3u5 https://t.co/8K1XdTkDXE,77,@CBSNews
0.0,Fri Oct 05 22:19:34 +0000 2018,0.0,1.0,0.0,Susan Collins and Lisa Murkowski make different decisions in Kavanaugh confirmation https://t.co/4J8ZLsjADb https://t.co/eZAVfXqCJ6,78,@CBSNews
0.2732,Fri Oct 05 22:00:01 +0000 2018,0.0,0.829,0.171,"Lady Gaga gives emotional defense of Christine Blasey Ford on ""The Late Show with Stephen Colbert""… https://t.co/HSK9loLwjE",79,@CBSNews
0.0,Fri Oct 05 21:40:09 +0000 2018,0.0,1.0,0.0,"Sen. Collins explains why she is voting ""yes"" for Brett Kavanaugh: ""He has been an exemplary public servant, judge,… https://t.co/HPw3g29RFK",80,@CBSNews
-0.8176,Fri Oct 05 21:19:30 +0000 2018,0.366,0.634,0.0,"The cop who shot Laquan McDonald, Jason Van Dyke, found guilty of murder https://t.co/Nxs6IFf3WQ https://t.co/qsQo6Vkm8t",81,@CBSNews
-0.3818,Fri Oct 05 21:00:30 +0000 2018,0.133,0.867,0.0,Four years ago a dachshund named Patches developed a life-threatening tumor that was pressing on her brain. To save… https://t.co/X534WLgdEX,82,@CBSNews
-0.0516,Fri Oct 05 20:39:52 +0000 2018,0.07,0.93,0.0,"Steve Daines will leave daughter's wedding in private jet to return for Kavanaugh vote, if needed… https://t.co/8lShqp29dl",83,@CBSNews
-0.6705,Fri Oct 05 20:19:31 +0000 2018,0.333,0.667,0.0,"The unemployment rate drops to 3.7%, lowest in nearly half a century https://t.co/OF1VTVF1BE https://t.co/JeQuCrmpn3",84,@CBSNews
-0.3578,Fri Oct 05 20:04:12 +0000 2018,0.101,0.899,0.0,"""Look at us! Look at us!"" protesters chant at Sen. Joe Manchin, who just announced he will vote ""yes"" to confirm Br… https://t.co/IBsjBurh4I",85,@CBSNews
0.4019,Fri Oct 05 20:02:27 +0000 2018,0.0,0.876,0.124,"Sen. Manchin says he will cross party lines and vote ""yes"" on Kavanaugh – as protestors shout ""shame"" at him.… https://t.co/QpkfJ5zdAF",86,@CBSNews
-0.0662,Fri Oct 05 20:00:35 +0000 2018,0.122,0.768,0.11,"FRIDAY FEELS: This 7-year-old boy was diagnosed with cancer last year, but never lost his sense of humor.… https://t.co/i07M2JDvcx",87,@CBSNews
0.0,Fri Oct 05 19:53:13 +0000 2018,0.0,1.0,0.0,".@SenatorCollins: ""I will vote to confirm Judge Kavanaugh."" https://t.co/8EWF2wqHkd https://t.co/d2ddRzVP3G",88,@CBSNews
-0.3182,Fri Oct 05 19:49:27 +0000 2018,0.126,0.874,0.0,".@SenatorCollins: Now one theory I have heard espoused repeatedly is that our colleague, Sen. Feinstein, leaked pro… https://t.co/aRD68SSDcp",89,@CBSNews
-0.2023,Fri Oct 05 19:39:32 +0000 2018,0.177,0.696,0.127,Man's vision changes after taking high dose of erectile dysfunction drug https://t.co/zS5gByUZ84 https://t.co/RazTcQVNv9,90,@CBSNews
-0.5719,Fri Oct 05 19:19:34 +0000 2018,0.198,0.802,0.0,"Common and Amandla Stenberg on tackling the nuances of ""blackness"" in ""The Hate U Give"" https://t.co/oo8xE1gTS1 https://t.co/eTckkxAjLL",91,@CBSNews
0.0,Fri Oct 05 19:09:02 +0000 2018,0.0,1.0,0.0,HAPPENING NOW: Sen. Collins to announce whether or not she will vote to confirm Bret Kavanaugh. Protestors are hear… https://t.co/AoQV29COy6,92,@CBSNews
-0.8176,Fri Oct 05 19:05:48 +0000 2018,0.309,0.691,0.0,"The jury has found Jason Van Dyke, the white officer charged in the death of Laquan McDonald, guilty of second degr… https://t.co/ZjRGS2i6Qy",93,@CBSNews
-0.4939,Fri Oct 05 18:59:38 +0000 2018,0.276,0.724,0.0,"Amid tensions over Kavanaugh vote, Senate overwhelmingly passes sweeping opioids legislation https://t.co/bWSokuPRdd https://t.co/ruPS1jX6a6",94,@CBSNews
-0.8176,Fri Oct 05 18:58:17 +0000 2018,0.405,0.595,0.0,BREAKING: Jury finds Jason Van Dyke guilty of 2nd degree murder https://t.co/oTZAhGP9JW https://t.co/ecxsiwNiDo,95,@CBSNews
-0.7096,Fri Oct 05 18:52:22 +0000 2018,0.223,0.722,0.055,WATCH: A verdict is about to be read in the case of Jason Van Dyke. He was charged with the murder of Laquan McDona… https://t.co/eDP6avlEc0,96,@CBSNews
0.0,Fri Oct 05 18:40:25 +0000 2018,0.0,1.0,0.0,"These parents used to have more than $1,000 in an envelope. Now, they have  more than 1,000 pieces. 🙈💸… https://t.co/YYCFHUEtjG",97,@CBSNews
-0.2263,Fri Oct 05 18:19:42 +0000 2018,0.095,0.905,0.0,"KAVANAUGH VOTE: Sen. Flake a ""yes"", Sen. Murkowski a ""no"" with 2 senators undecided on the final vote that could ta… https://t.co/LrpSy0T3My",98,@CBSNews
0.6486,Fri Oct 05 18:19:15 +0000 2018,0.144,0.596,0.26,"RT @CBSSunday: This #CBSSunday

@JudgeJudy fills @MoRocca in on the latest dirt about American gossip columnist &amp; best friend Cindy Adams…",99,@CBSNews
0.0,Fri Oct 05 18:05:35 +0000 2018,0.0,1.0,0.0,"WATCH:  ""[Kavanaugh] has done more than any nominee in history in terms the amount document he has turned over, hou… https://t.co/2kc31ysQNV",100,@CBSNews
0.0,Sat Oct 06 16:55:47 +0000 2018,0.083,0.833,0.083,"Salmonella in beef and eggs, listeria in ham and stalling Toyota Prius cars spurred a week of significant product r… https://t.co/mMpqbvEZtG",1,@CNNbrk
-0.6369,Sat Oct 06 15:11:36 +0000 2018,0.208,0.792,0.0,The Vatican says Pope Francis ordered an investigation into abuse allegations against US Archbishop Theodore McCarr… https://t.co/6ntkwYygoP,2,@CNNbrk
0.0,Sat Oct 06 14:20:48 +0000 2018,0.0,1.0,0.0,"Interpol says it has asked Chinese authorities for information about the agency's president, Meng Hongwei, who was… https://t.co/YRFNGiKytl",3,@CNNbrk
-0.0572,Sat Oct 06 01:26:02 +0000 2018,0.075,0.925,0.0,Clarification: A lawyer representing Christine Blasey Ford says her client does not want Brett Kavanaugh impeached… https://t.co/1WhBmxjjsi,4,@CNNbrk
-0.0572,Fri Oct 05 23:58:55 +0000 2018,0.064,0.936,0.0,A lawyer representing Christine Blasey Ford says her client does not want him impeached if Democrats take control o… https://t.co/0nj4ZKgelE,5,@CNNbrk
-0.128,Fri Oct 05 23:48:55 +0000 2018,0.064,0.936,0.0,RT @CNNBusiness: Ford is cutting staff as it transforms its business. The second largest US automaker said it was reorganizing its global s…,6,@CNNbrk
0.0,Fri Oct 05 23:25:53 +0000 2018,0.0,1.0,0.0,"Sen. Steve Daines will be attending his daughter's wedding Saturday in Montana, but still may fly back to Washingto… https://t.co/osbm5vFZnv",7,@CNNbrk
0.4019,Fri Oct 05 20:11:29 +0000 2018,0.0,0.87,0.13,"Democratic Sen. Joe Manchin announces he will vote yes to confirm Brett Kavanaugh, minutes after Sen. Susan Collins… https://t.co/Xzy8bJmoCG",8,@CNNbrk
0.7876,Fri Oct 05 19:54:49 +0000 2018,0.0,0.732,0.268,"Republican Sen. Susan Collins says she will vote ""yes"" on Kavanaugh, all but assuring her party will have the votes… https://t.co/EY43Cvkgd1",9,@CNNbrk
0.0,Fri Oct 05 19:10:39 +0000 2018,0.0,1.0,0.0,Republican Sen. Susan Collins announces how she will vote on Kavanaugh. Follow live updates: https://t.co/8Y903xdV8J https://t.co/1o8sZ5oovW,10,@CNNbrk
-0.9169,Fri Oct 05 19:07:41 +0000 2018,0.412,0.588,0.0,A Chicago police officer is found guilty of murder in the killing of a 17-year-old that was captured on dash camera… https://t.co/iYWAzkb95I,11,@CNNbrk
0.2023,Fri Oct 05 18:54:12 +0000 2018,0.172,0.664,0.164,"Mike ""The Situation"" Sorrentino, best known from MTV's ""Jersey Shore,"" is sentenced to eight months in prison for t… https://t.co/1UrsBg7IfU",12,@CNNbrk
-0.872,Fri Oct 05 18:01:05 +0000 2018,0.377,0.519,0.104,A verdict is reached in the trial of a Chicago police officer charged with murder in the killing of 17-year-old Laq… https://t.co/u2QYAlLNDY,13,@CNNbrk
0.0,Fri Oct 05 16:29:19 +0000 2018,0.0,1.0,0.0,Republican Sen. Lisa Murkowski says she will vote against Brett Kavanaugh's nomination. And Sen. Jeff Flake says he… https://t.co/KJB8xk2YEI,14,@CNNbrk
0.5574,Fri Oct 05 15:04:10 +0000 2018,0.0,0.833,0.167,The Senate votes 51-49 to move Brett Kavanaugh's Supreme Court nomination to a final vote that is expected Saturday… https://t.co/0qZyI538XV,15,@CNNbrk
0.0,Fri Oct 05 14:40:16 +0000 2018,0.0,1.0,0.0,A crucial vote on Brett Kavanaugh's nomination is underway in the Senate. Follow live updates:… https://t.co/kYDN1QX2eC,16,@CNNbrk
0.0,Fri Oct 05 14:31:31 +0000 2018,0.0,1.0,0.0,Republican Sen. Susan Collins is scheduled to announce her final decision on Kavanaugh's nomination at 3 p.m. ET. S… https://t.co/fVe27NkkhR,17,@CNNbrk
0.0,Fri Oct 05 13:52:03 +0000 2018,0.0,1.0,0.0,"Sen. Joe Manchin will not announce his vote on Kavanaugh until he goes to the Senate floor, an aide tells CNN. Foll… https://t.co/eAIN0g7UbY",18,@CNNbrk
0.0,Fri Oct 05 13:26:44 +0000 2018,0.0,1.0,0.0,"France is investigating the disappearance of Interpol president Meng Hongwei, a police source says. Meng was former… https://t.co/50mVJVG5RI",19,@CNNbrk
0.0,Fri Oct 05 13:25:49 +0000 2018,0.0,1.0,0.0,"Mattress Firm, America's largest bed store, files for bankruptcy and will close as many as 700 stores… https://t.co/qA3eFuOWBl",20,@CNNbrk
-0.6705,Fri Oct 05 12:41:05 +0000 2018,0.234,0.766,0.0,"The unemployment rate fell to 3.7% in September, the lowest level since December 1969. The US economy added 134,000… https://t.co/uWgjRbCjUL",21,@CNNbrk
0.8591,Fri Oct 05 09:23:39 +0000 2018,0.0,0.689,0.311,The 2018 Nobel Peace Prize has been awarded to Denis Mukwege and Nadia Murad for their efforts to end the use of se… https://t.co/hq4lcGMAUo,22,@CNNbrk
0.5574,Thu Oct 04 23:30:55 +0000 2018,0.0,0.841,0.159,"A cloture vote for Supreme Court nominee Brett Kavanaugh is set for Friday morning, moving the Senate closer to a c… https://t.co/e3hE5sNRLm",23,@CNNbrk
-0.6124,Thu Oct 04 23:04:54 +0000 2018,0.25,0.75,0.0,Capitol Police arrested 302 protesters during demonstrations at Senate Office buildings over the Brett Kavanaugh no… https://t.co/ctmR9Oaybh,24,@CNNbrk
-0.6808,Thu Oct 04 22:05:42 +0000 2018,0.381,0.485,0.134,Two protesters opposed to Brett Kavanaugh's Supreme Court nomination were arrested on suspicion of blocking the ent… https://t.co/W5FIGs2xcd,25,@CNNbrk
-0.6808,Thu Oct 04 17:21:50 +0000 2018,0.28,0.72,0.0,"Nineties rap mogul Marion ""Suge"" Knight is sentenced to 28 years in prison after pleading no contest to manslaughte… https://t.co/DCe5plFDkp",26,@CNNbrk
0.0258,Thu Oct 04 13:58:17 +0000 2018,0.181,0.679,0.14,Seven Russian intelligence officers are charged in a US indictment alleging the use of cybercrimes to distract from… https://t.co/GWDsGParc7,27,@CNNbrk
0.0,Thu Oct 04 13:19:59 +0000 2018,0.0,1.0,0.0,A massive recall of 6.5 million pounds of beef is issued after a salmonella outbreak is linked to meat sold across… https://t.co/OIqRvu4sNB,28,@CNNbrk
-0.6705,Thu Oct 04 13:03:45 +0000 2018,0.209,0.791,0.0,"A US service member assigned to the NATO mission in Afghanistan was killed on Thursday, the Pentagon says… https://t.co/heEDOwDCAa",29,@CNNbrk
0.5574,Thu Oct 04 10:29:52 +0000 2018,0.0,0.816,0.184,Senate Judiciary Committee has received the supplemental FBI background file on Supreme Court nominee Brett Kavanau… https://t.co/Lel2EgRcGq,30,@CNNbrk
0.6124,Thu Oct 04 02:47:23 +0000 2018,0.0,0.762,0.238,Australia's busiest airport was on high alert Thursday after a United Airlines flight from Los Angeles issued a may… https://t.co/jQ1RuHC2tS,31,@CNNbrk
-0.5106,Thu Oct 04 02:42:32 +0000 2018,0.212,0.788,0.0,"RT @CNNPolitics: Capitol Police arrest a man suspected of ""doxing"" lawmakers — or posting their private information online — during Supreme…",32,@CNNbrk
0.0,Thu Oct 04 02:13:06 +0000 2018,0.0,1.0,0.0,RT @CNNPolitics: BREAKING: Senate Majority Leader Mitch McConnell takes a key step toward the vote on Brett Kavanaugh's nomination https://…,33,@CNNbrk
0.2023,Thu Oct 04 01:47:23 +0000 2018,0.124,0.706,0.171,A California federal judge temporarily blocked Trump's administration from stripping Temporary Protected Status fro… https://t.co/1QOnVq0BOI,34,@CNNbrk
-0.3818,Thu Oct 04 01:16:16 +0000 2018,0.126,0.874,0.0,"James Roche, one of Kavanaugh’s freshman roommates, says Kavanaugh lied under oath about his drinking and about the… https://t.co/PAbub0JmFa",35,@CNNbrk
-0.6369,Thu Oct 04 01:13:39 +0000 2018,0.198,0.802,0.0,"Seven law enforcement officers were shot, one fatally, during a standoff in South Carolina, as sheriff's deputies w… https://t.co/SX27SQ7tbd",36,@CNNbrk
0.0,Thu Oct 04 00:25:29 +0000 2018,0.0,1.0,0.0,"RT @CNNPolitics: Senators will be able to start reading the Kavanugh FBI report Thursday morning, sources say https://t.co/Q5vSw5VaYv https…",37,@CNNbrk
-0.5574,Wed Oct 03 23:03:25 +0000 2018,0.175,0.825,0.0,"One of the five law enforcement officers shot in South Carolina has died, Florence County coroner says… https://t.co/cpcaoISDRH",38,@CNNbrk
-0.296,Wed Oct 03 22:16:58 +0000 2018,0.115,0.885,0.0,"Five law enforcement officers have been shot in Florence County, South Carolina, sheriff's deputy says. A suspect i… https://t.co/6BtjVK7Sok",39,@CNNbrk
-0.34,Wed Oct 03 20:31:50 +0000 2018,0.103,0.897,0.0,The Senate passes legislation to combat the opioid epidemic by a vote of 98-1. The bill now heads to the White Hous… https://t.co/hxvRTSav7v,40,@CNNbrk
-0.5859,Wed Oct 03 18:26:36 +0000 2018,0.186,0.814,0.0,"US officials just ran a big test of an emergency system that uses your cell phone. We have the FAQs (and no, Presid… https://t.co/wRL0kZsHSU",41,@CNNbrk
0.0,Wed Oct 03 18:14:59 +0000 2018,0.0,1.0,0.0,"Astronomers say they may have made the first discovery of an exomoon, a moon outside our solar system… https://t.co/IN5GguVUee",42,@CNNbrk
-0.4019,Wed Oct 03 17:39:20 +0000 2018,0.137,0.863,0.0,"Sarah Sanders says President Trump was ""stating the facts"" in comments seen as mocking Kavanaugh accuser's testimon… https://t.co/H7R85pvMmV",43,@CNNbrk
0.1779,Wed Oct 03 17:29:47 +0000 2018,0.148,0.633,0.219,"RT @CNNPolitics: ""The Iranian regime has systematically pursued a policy of hostility toward the United States,” national security adviser…",44,@CNNbrk
-0.765,Wed Oct 03 15:15:12 +0000 2018,0.28,0.72,0.0,Soccer star Cristiano Ronaldo tweets a denial of rape allegations in an American woman's lawsuit and says he awaits… https://t.co/K4k6MEfLGQ,45,@CNNbrk
0.0,Wed Oct 03 13:46:43 +0000 2018,0.0,1.0,0.0,RT @CNNMoney: Stocks race higher at the open. Dow rises 140 points to all-time high. S&amp;P 500 and Nasdaq advance 0.4%. JCPenney jumps 8% as…,46,@CNNbrk
-0.4019,Wed Oct 03 13:44:18 +0000 2018,0.144,0.856,0.0,"Sen. Susan Collins, a key GOP vote on Brett Kavanaugh's nomination, says President Trump's comments mocking Christi… https://t.co/QtxLRCHbGH",47,@CNNbrk
-0.6486,Wed Oct 03 12:09:00 +0000 2018,0.185,0.815,0.0,"Grammy Award-winning sound engineer Geoff Emerick, who worked on several Beatles albums, is dead at age 72. He also… https://t.co/c96pd4ZoXE",48,@CNNbrk
0.5859,Wed Oct 03 11:12:30 +0000 2018,0.0,0.769,0.231,France has frozen assets of Iran's intelligence services and two Iranian nationals after linking them to a thwarted… https://t.co/eLAodf53qY,49,@CNNbrk
-0.5859,Wed Oct 03 01:51:46 +0000 2018,0.183,0.817,0.0,FBI is expanding its inquiry into sexual assault allegations against Brett Kavanaugh beyond the initial four interv… https://t.co/ykJ8CJbf2V,50,@CNNbrk
